Training Log - 20250611_154257
Parameters:
  Sequence Length: 32
  Correlation Strength Param: 8
  Train Dataset Size: 1000
  Test Dataset Size: 100
  Model: 2 layers, d_model=256, nhead=4
  Training Steps: 100000
  Batch Size: 32
  Learning Rate: 0.0001
Theoretical True Per-Bit Entropy (Lower Bound NLL): 0.6616

Step,Model_NLL,Memorization_Accuracy(Train),Generalization_Accuracy(Test)
51000,0.3726,87.60,52.65
51200,0.3795,87.50,53.45
51400,0.3845,87.00,53.90
51600,0.3727,88.10,53.32
51800,0.3668,86.79,53.77
52000,0.3794,87.40,53.16
52200,0.3806,87.70,53.65
52400,0.3925,87.50,53.06
52600,0.3948,87.60,53.16
52800,0.4040,87.50,53.71
53000,0.3694,86.69,53.23
53200,0.3651,86.90,53.58
53400,0.3623,88.10,53.35
53600,0.4074,86.19,53.03
53800,0.3757,87.60,53.65
54000,0.3930,88.00,53.61
54200,0.4059,87.60,53.35
54400,0.3841,87.30,53.42
54600,0.3531,87.70,53.00
54800,0.3482,88.00,53.29
55000,0.3547,85.89,53.58
55200,0.3356,86.79,52.81
55400,0.3781,86.29,53.39
55600,0.3539,85.48,53.32
55800,0.3940,87.10,52.52
56000,0.3343,87.90,53.32
56200,0.3681,88.51,53.42
56400,0.3682,87.50,53.71
56600,0.3863,87.10,53.03
56800,0.3453,85.99,53.77
57000,0.3627,86.19,53.61
57200,0.3779,87.60,53.39
57400,0.3921,87.60,53.16
57600,0.4534,86.29,53.32
57800,0.3782,87.90,53.26
58000,0.3860,87.90,52.65
58200,0.3383,88.21,53.16
58400,0.3723,87.10,53.55
58600,0.3586,86.90,53.68
58800,0.3746,87.60,53.77
59000,0.3638,86.79,53.74
59200,0.3212,86.90,52.84
59400,0.3357,87.00,53.48
59600,0.3587,88.00,53.52
59800,0.3683,86.39,53.06
60000,0.4091,88.31,53.23
60200,0.3612,86.39,52.71
60400,0.3487,89.52,53.03
60600,0.3452,87.30,52.45
60800,0.3983,87.80,53.13
61000,0.3562,87.50,53.06
61200,0.3685,88.00,53.39
61400,0.3516,87.80,53.35
61600,0.3391,86.90,52.84
61800,0.3856,86.49,53.10
62000,0.3412,86.90,53.71
62200,0.3711,87.80,53.03
62400,0.3921,87.30,53.65
62600,0.3486,87.10,52.90
62800,0.3180,85.69,53.35
63000,0.3323,87.70,53.26
63200,0.3973,88.31,52.45
63400,0.3493,87.30,53.35
63600,0.3562,86.69,52.81
63800,0.3427,86.79,53.45
64000,0.3355,88.31,53.16
64200,0.3465,87.90,53.32
64400,0.3424,86.79,53.52
64600,0.3257,87.50,53.39
64800,0.2864,88.91,53.61
65000,0.3951,87.40,54.29
65200,0.3612,87.00,53.16
65400,0.3410,86.69,52.94
65600,0.3482,87.10,53.48
65800,0.3399,88.61,52.42
66000,0.3415,87.40,54.10
66200,0.3534,87.40,53.48
66400,0.3821,88.61,53.32
66600,0.3484,88.00,53.42
66800,0.3689,87.40,53.52
67000,0.3073,88.00,54.48
67200,0.3154,87.40,52.94
67400,0.3624,87.50,52.52
67600,0.3567,86.59,52.52
67800,0.3240,88.00,52.74
68000,0.3194,87.80,52.77
68200,0.3139,87.60,53.97
68400,0.3453,87.20,53.65
68600,0.3537,88.10,53.29
68800,0.3484,87.40,53.39
69000,0.3140,88.10,52.26
69200,0.3261,87.80,52.90
69400,0.3463,87.80,53.84
69600,0.3342,87.70,53.00
69800,0.3631,88.51,53.35
70000,0.3438,88.21,54.10
70200,0.3419,88.10,53.26
70400,0.3863,86.69,53.29
70600,0.3393,88.61,53.45
70800,0.3085,87.90,53.16
71000,0.3298,88.00,53.35
71200,0.3116,87.80,53.13
71400,0.3181,87.40,53.68
71600,0.3480,88.10,53.81
71800,0.3216,87.60,52.77
72000,0.3323,87.70,53.03
72200,0.3156,87.80,53.84
72400,0.3486,87.30,53.29
72600,0.3197,88.21,53.35
72800,0.3297,89.92,53.84
73000,0.3217,86.19,53.06
73200,0.3376,89.11,53.87
73400,0.3321,89.01,53.16
73600,0.3380,87.20,53.39
73800,0.3318,87.10,53.26
74000,0.3309,88.61,52.97
74200,0.3361,88.41,53.19
74400,0.3327,86.39,53.23
74600,0.3188,86.69,53.13
74800,0.3475,87.70,53.81
75000,0.3270,87.40,53.45
75200,0.3407,88.21,53.74
75400,0.3258,88.41,53.61
75600,0.3286,88.00,53.84
75800,0.3398,87.10,53.13
76000,0.3695,88.21,53.39
76200,0.3204,88.41,52.97
76400,0.3452,88.91,53.19
76600,0.3266,87.60,52.84
76800,0.3488,87.90,53.13
77000,0.3380,87.70,53.19
77200,0.3500,88.41,53.13
77400,0.3137,89.42,53.29
77600,0.3283,87.70,52.48
77800,0.3288,87.40,53.13
78000,0.3503,88.21,53.03
78200,0.3027,88.21,53.39
78400,0.3340,87.80,53.58
78600,0.3128,87.80,53.81
78800,0.3218,88.00,53.29
79000,0.3103,87.50,53.19
79200,0.3220,87.60,52.90
79400,0.3103,89.82,52.77
79600,0.2973,87.50,53.00
79800,0.3148,86.79,52.71
80000,0.3250,87.20,53.87
80200,0.3233,88.10,53.61
80400,0.3202,86.90,53.06
80600,0.3284,86.90,53.77
80800,0.3067,87.90,53.55
81000,0.3194,88.91,53.32
81200,0.3179,88.61,53.29
81400,0.3079,86.39,52.71
81600,0.3561,88.21,52.97
81800,0.3194,87.50,53.10
82000,0.3217,88.61,53.06
82200,0.3367,88.21,53.39
82400,0.3405,88.31,52.45
82600,0.3172,88.51,53.06
82800,0.3014,88.10,53.42
83000,0.3241,88.41,53.39
83200,0.3010,89.52,52.90
83400,0.3199,88.71,53.19
83600,0.3218,87.90,52.61
83800,0.3240,87.00,52.48
84000,0.3073,88.00,52.19
84200,0.3257,87.30,52.42
84400,0.3185,88.81,52.94
84600,0.3208,87.30,52.58
84800,0.3507,88.71,53.19
85000,0.3004,88.00,52.81
85200,0.3032,87.80,52.55
85400,0.3147,87.90,52.97
85600,0.3459,88.10,52.94
85800,0.3095,88.41,52.77
86000,0.2899,89.01,53.26
86200,0.3078,88.81,52.26
86400,0.3331,88.61,53.35
86600,0.2990,88.41,53.19
86800,0.2972,87.30,53.94
87000,0.3179,86.39,53.10
87200,0.3028,87.30,53.55
87400,0.3276,87.90,52.87
87600,0.3193,89.21,52.87
87800,0.2909,87.80,53.32
88000,0.3483,87.40,53.55
88200,0.3109,88.41,52.58
88400,0.2986,87.80,53.39
88600,0.3329,88.41,53.81
88800,0.2784,88.10,53.35
89000,0.3135,89.82,52.94
89200,0.3093,89.52,52.19
89400,0.3167,87.80,53.58
89600,0.2982,85.89,52.65
89800,0.3022,88.51,52.65
90000,0.2965,89.11,53.06
90200,0.3102,88.00,53.48
90400,0.3138,87.90,52.68
90600,0.3223,88.71,53.03
90800,0.2802,87.80,52.77
91000,0.3069,88.10,53.94
91200,0.2707,89.42,52.84
91400,0.2858,89.21,53.35
91600,0.2935,87.60,53.94
91800,0.3033,88.10,53.32
92000,0.3171,88.81,52.71
92200,0.2951,88.81,53.39
92400,0.3035,88.41,52.68
92600,0.3017,88.10,52.84
92800,0.3068,88.51,53.13
93000,0.2950,87.20,53.55
93200,0.3161,88.51,53.10
93400,0.3023,87.60,52.68
93600,0.2959,88.21,53.16
93800,0.3007,88.31,53.32
94000,0.2988,88.71,53.06
94200,0.3032,87.50,53.26
94400,0.3140,87.90,53.39
94600,0.2859,88.21,52.87
94800,0.3019,87.00,52.42
95000,0.3214,87.30,52.61
95200,0.3192,87.60,53.48
95400,0.2965,87.00,52.77
95600,0.2707,87.80,52.19
95800,0.2976,88.41,52.65
96000,0.2759,87.10,53.13
96200,0.2798,89.62,53.19
96400,0.3116,87.70,52.45
96600,0.2927,87.90,52.65
96800,0.3363,88.41,52.77
97000,0.3074,88.00,52.68
97200,0.2966,87.80,52.55
97400,0.2831,87.90,53.48
97600,0.3303,88.31,53.06
97800,0.3029,88.10,53.42
98000,0.2864,86.79,52.71
98200,0.3041,89.11,53.00
98400,0.2945,88.10,53.10
98600,0.2988,89.11,53.55
98800,0.2784,88.51,52.61
99000,0.2922,88.10,52.94
99200,0.3024,88.00,53.29
99400,0.3033,87.80,53.29
99600,0.2996,87.50,52.97
99800,0.2897,88.51,53.13
100000,0.3280,88.81,53.35
